time,location,new_id
07:00,dairy,0.6
07:00,drinks,0.6
07:00,fruit,0.8
07:01,checkout,0.4
07:01,dairy,1.2
07:01,drinks,0.6
07:01,fruit,0.8
07:01,spices,0.2
07:02,checkout,1.0
07:02,dairy,1.2
07:02,drinks,0.2
07:02,fruit,0.8
07:02,spices,0.4
07:03,checkout,0.2
07:03,dairy,2.8
07:03,drinks,0.6
07:03,fruit,1.0
07:03,spices,0.4
07:04,checkout,0.4
07:04,dairy,3.6
07:04,drinks,0.8
07:04,fruit,1.2
07:04,spices,0.8
07:05,checkout,1.4
07:05,dairy,3.0
07:05,drinks,1.4
07:05,fruit,0.4
07:05,spices,0.2
07:06,checkout,1.2
07:06,dairy,2.8
07:06,drinks,1.4
07:06,fruit,1.6
07:06,spices,0.4
07:07,checkout,0.2
07:07,dairy,3.2
07:07,drinks,1.6
07:07,fruit,2.0
07:07,spices,0.8
07:08,checkout,1.0
07:08,dairy,3.4
07:08,drinks,1.8
07:08,fruit,1.8
07:08,spices,1.0
07:09,checkout,1.8
07:09,dairy,2.2
07:09,drinks,2.0
07:09,fruit,1.4
07:09,spices,1.2
07:10,checkout,1.0
07:10,dairy,1.6
07:10,drinks,1.8
07:10,fruit,2.4
07:10,spices,1.2
07:11,checkout,1.2
07:11,dairy,1.6
07:11,drinks,2.0
07:11,fruit,2.6
07:11,spices,1.0
07:12,checkout,0.8
07:12,dairy,2.0
07:12,drinks,2.2
07:12,fruit,4.4
07:12,spices,1.6
07:13,checkout,1.2
07:13,dairy,2.6
07:13,drinks,3.2
07:13,fruit,4.0
07:13,spices,1.0
07:14,checkout,2.2
07:14,dairy,3.4
07:14,drinks,3.0
07:14,fruit,4.4
07:14,spices,0.4
07:15,checkout,1.8
07:15,dairy,3.0
07:15,drinks,2.6
07:15,fruit,3.2
07:15,spices,2.4
07:16,checkout,1.6
07:16,dairy,3.6
07:16,drinks,2.4
07:16,fruit,3.0
07:16,spices,2.0
07:17,checkout,2.2
07:17,dairy,2.6
07:17,drinks,3.0
07:17,fruit,2.4
07:17,spices,2.6
07:18,checkout,1.4
07:18,dairy,3.8
07:18,drinks,2.4
07:18,fruit,2.6
07:18,spices,1.4
07:19,checkout,1.2
07:19,dairy,4.4
07:19,drinks,3.0
07:19,fruit,3.0
07:19,spices,1.2
07:20,checkout,3.4
07:20,dairy,5.2
07:20,drinks,1.8
07:20,fruit,2.2
07:20,spices,1.8
07:21,checkout,2.0
07:21,dairy,4.0
07:21,drinks,2.2
07:21,fruit,2.2
07:21,spices,1.0
07:22,checkout,1.2
07:22,dairy,3.6
07:22,drinks,2.0
07:22,fruit,3.8
07:22,spices,1.4
07:23,checkout,2.0
07:23,dairy,3.6
07:23,drinks,2.6
07:23,fruit,3.0
07:23,spices,0.4
07:24,checkout,1.2
07:24,dairy,3.2
07:24,drinks,2.6
07:24,fruit,2.6
07:24,spices,0.6
07:25,checkout,0.8
07:25,dairy,3.2
07:25,drinks,2.4
07:25,fruit,2.2
07:25,spices,2.0
07:26,checkout,2.0
07:26,dairy,4.0
07:26,drinks,2.2
07:26,fruit,2.8
07:26,spices,1.8
07:27,checkout,2.0
07:27,dairy,3.8
07:27,drinks,3.2
07:27,fruit,2.6
07:27,spices,2.6
07:28,checkout,1.2
07:28,dairy,4.6
07:28,drinks,3.6
07:28,fruit,3.2
07:28,spices,1.6
07:29,checkout,1.2
07:29,dairy,4.8
07:29,drinks,4.2
07:29,fruit,3.2
07:29,spices,0.8
07:30,checkout,3.0
07:30,dairy,3.2
07:30,drinks,4.6
07:30,fruit,3.2
07:30,spices,0.8
07:31,checkout,2.2
07:31,dairy,3.4
07:31,drinks,3.4
07:31,fruit,3.2
07:31,spices,1.2
07:32,checkout,2.8
07:32,dairy,4.4
07:32,drinks,2.4
07:32,fruit,2.8
07:32,spices,1.0
07:33,checkout,2.0
07:33,dairy,4.0
07:33,drinks,2.6
07:33,fruit,2.4
07:33,spices,1.4
07:34,checkout,1.4
07:34,dairy,3.4
07:34,drinks,1.8
07:34,fruit,3.0
07:34,spices,2.0
07:35,checkout,1.6
07:35,dairy,3.8
07:35,drinks,3.0
07:35,fruit,1.8
07:35,spices,2.0
07:36,checkout,2.0
07:36,dairy,4.0
07:36,drinks,2.8
07:36,fruit,1.4
07:36,spices,2.4
07:37,checkout,1.6
07:37,dairy,2.4
07:37,drinks,2.4
07:37,fruit,2.4
07:37,spices,2.6
07:38,checkout,1.4
07:38,dairy,4.0
07:38,drinks,2.2
