location,checkout,dairy,drinks,fruit,spices
checkout,1.0,0.0,0.0,0.0,0.0
dairy,0.10334363585276764,0.7370609721831975,0.05849957853329587,0.049789266647934816,0.051306546782804156
drinks,0.21568829032589698,0.010897501799115862,0.5985401459854015,0.08789966073815153,0.08697440115143415
entrance,0.0,0.2875755540631296,0.15352585627938214,0.3774345198119543,0.18146406984553393
fruit,0.201446768359805,0.0958484038370813,0.054804214499135084,0.5972637207108036,0.050636892593175026
spices,0.1505650167117619,0.1930606398217412,0.16297946840681204,0.09088015279325164,0.40251472226643326
